lemma,past,present_phones,past_phones
outguess,outguessed,AW T G EH S,AW T G EH S T
drape,draped,D R EY P,D R EY P T
plane,planed,P L EY N,P L EY N D
pitch,pitched,P IH CH,P IH CH T
veto,vetoed,V IY T OW,V IY T OW D
twitch,twitched,T W IH CH,T W IH CH T
fixate,fixated,F IH K S EY T,F IH K S EY T IH D
preserve,preserved,P R AH Z ER V,P R AH Z ER V D
post,posted,P OW S T,P OW S T IH D
wee,weed,W IY,W IY D
replace,replaced,R IY P L EY S,R IY P L EY S T
whiz,whizzed,W IH Z,W IH Z D
brake,braked,B R EY K,B R EY K T
slash,slashed,S L AE SH,S L AE SH T
throw,threw,TH R OW,TH R UW
defect,defected,D IY F EH K T,D IH F EH K T IH D
stagnate,stagnated,S T AE G N EY T,S T AE G N EY T IH D
ventilate,ventilated,V EH N T AH L EY T,V EH N T AH L EY T IH D
dunk,dunked,D AH NG K,D AH NG K T
spark,sparked,S P AA R K,S P AA R K T
reunite,reunited,R IY UW N AY T,R IY UW N AY T IH D
banish,banished,B AE N IH SH,B AE N IH SH T
float,floated,F L OW T,F L OW T AH D
receive,received,R AH S IY V,R AH S IY V D
ally,allied,AE L AY,AH L AY D
dispose,disposed,D IH S P OW Z,D IH S P OW Z D
emanate,emanated,EH M AH N EY T,EH M AH N EY T IH D
cash,cashed,K AE SH,K AE SH T
corroborate,corroborated,K ER AA B ER EY T,K ER AA B ER EY T IH D
interlace,interlaced,IH N T ER L EY S,IH N T ER L EY S T
federalize,federalized,F EH D ER AH L AY Z,F EH D ER AH L AY Z D
jell,jelled,JH EH L,JH EH L D
awake,awoke,AH W EY K,AH W OW K
perceive,perceived,P ER S IY V,P ER S IY V D
light,lit,L AY T,L IH T
shut,shut,SH AH T,SH AH T
modify,modified,M AA D AH F AY,M AA D AH F AY D
unzip,unzipped,AH N Z IH P,AH N Z IH P T
reattach,reattached,R IY AH T AE CH,R IY AH T AE CH T
decompose,decomposed,D IY K AH M P OW Z,D IY K AH M P OW Z D
manifest,manifested,M AE N AH F EH S T,M AE N AH F EH S T AH D
sin,sinned,S IH N,S IH N D
address,addressed,AE D R EH S,AH D R EH S T
scold,scolded,S K OW L D,S K OW L D IH D
demoralize,demoralized,D IH M AO R AH L AY Z,D IH M AO R AH L AY Z D
go,went,G OW,W EH N T
resonate,resonated,R EH Z AH N EY T,R EH Z AH N EY T IH D
disabuse,disabused,D IH S AH B Y UW S,D IH S AH B Y UW Z D
mummify,mummified,M AH M AH F AY,M AH M IH F AY D
garble,garbled,G AA R B AH L,G AA R B AH L D
fit,fitted,F IH T,F IH T AH D
worship,worshipped,W ER SH AH P,W ER SH AH P T
variegate,variegated,V EH R IH G EY T,V EH R IH G EY T IH D
terrace,terraced,T EH R AH S,T EH R AH S T
fragment,fragmented,F R AE G M AH N T,F R AE G M AH N T IH D
advance,advanced,AH D V AE N S,AH D V AE N S T
shore,shored,SH AO R,SH AO R D
sizzle,sizzled,S IH Z AH L,S IH Z AH L D
pound,pounded,P AW N D,P AW N D IH D
slip,slipped,S L IH P,S L IH P T
pride,prided,P R AY D,P R AY D IH D
trademark,trademarked,T R EY D M AA R K,T R EY D M AA R K T
stress,stressed,S T R EH S,S T R EH S T
rope,roped,R OW P,R OW P T
impeach,impeached,IH M P IY CH,IH M P IY CH T
intermarry,intermarried,IH N T ER M AE R IY,IH N T ER M AE R IY D
drum,drummed,D R AH M,D R AH M D
survive,survived,S ER V AY V,S ER V AY V D
pacify,pacified,P AE S AH F AY,P AE S AH F AY D
grill,grilled,G R IH L,G R IH L D
fatigue,fatigued,F AH T IY G,F AH T IY G D
curl,curled,K ER L,K ER L D
dispatch,dispatched,D IH S P AE CH,D IH S P AE CH T
gleam,gleamed,G L IY M,G L IY M D
oppose,opposed,AH P OW Z,AH P OW Z D
consist,consisted,K AH N S IH S T,K AH N S IH S T AH D
drench,drenched,D R EH N CH,D R EH N CH T
wane,waned,W EY N,W EY N D
preconceive,preconceived,P R IY K AH N S IY V,P R IY K AH N S IY V D
cry,cried,K R AY,K R AY D
savor,savored,S EY V ER,S EY V ER D
accessorize,accessorized,AE K S EH S ER AY Z,AE K S EH S ER AY Z D
allay,allayed,AH L EY,AH L EY D
lap,lapped,L AE P,L AE P T
average,averaged,AE V ER IH JH,AE V R AH JH D
recognize,recognized,R EH K AH G N AY Z,R EH K AH G N AY Z D
boo,booed,B UW,B UW D
flay,flayed,F L EY,F L EY D
shade,shaded,SH EY D,SH EY D IH D
stilt,stilted,S T IH L T,S T IH L T IH D
taint,tainted,T EY N T,T EY N T IH D
smother,smothered,S M AH DH ER,S M AH DH ER D
employ,employed,EH M P L OY,EH M P L OY D
fine,fined,F AY N,F AY N D
franchise,franchised,F R AE N CH AY Z,F R AE N CH AY Z D
scandalize,scandalized,S K AE N D AH L AY Z,S K AE N D AH L AY Z D
tap,tapped,T AE P,T AE P T
grip,gripped,G R IH P,G R IH P T
freeze,froze,F R IY Z,F R OW Z
orient,oriented,AO R IY EH N T,AO R IY EH N T AH D
grimace,grimaced,G R IH M AH S,G R IH M AH S T
unite,united,Y UW N AY T,Y UW N AY T IH D
encode,encoded,EH N K OW D,EH N K OW D IH D
teach,taught,T IY CH,T AO T
wage,waged,W EY JH,W EY JH D
fetch,fetched,F EH CH,F EH CH T
process,processed,P R AA S EH S,P R AA S EH S T
rein,reined,R EY N,R EY N D
rob,robbed,R AA B,R AA B D
navigate,navigated,N AE V AH G EY T,N AE V AH G EY T IH D
gnaw,gnawed,N AO,N AO D
ball,balled,B AO L,B AO L D
shower,showered,SH AW ER,SH AW ER D
wangle,wangled,W AE NG G AH L,W AE NG G AH L D
deplete,depleted,D IH P L IY T,D IH P L IY T IH D
compound,compounded,K AA M P AW N D,K AH M P AW N D AH D
open,opened,OW P AH N,OW P AH N D
relive,relived,R IY L IH V,R IY L IH V D
decree,decreed,D IH K R IY,D IH K R IY D
crater,cratered,K R EY T ER,K R EY T ER D
wad,wadded,W AA D,W AA D IH D
trick,tricked,T R IH K,T R IH K T
splurge,splurged,S P L ER JH,S P L ER JH D
excel,excelled,IH K S EH L,IH K S EH L D
unwrap,unwrapped,AH N R AE P,AH N R AE P T
hiss,hissed,HH IH S,HH IH S T
tesselate,tesselated,T EH S AH L EY T,T EH S AH L EY T IH D
recap,recapped,R IY K AE P,R IY K AE P T
nuance,nuanced,N UW AA N S,N UW AA N S T
entail,entailed,EH N T EY L,IH N T EY L D
copy,copied,K AA P IY,K AA P IY D
winnow,winnowed,W IH N OW,W IH N OW D
foil,foiled,F OY L,F OY L D
reunify,reunified,R IY UW N AH F AY,R IY UW N AH F AY D
bluff,bluffed,B L AH F,B L AH F T
chuckle,chuckled,CH AH K AH L,CH AH K AH L D
page,paged,P EY JH,P EY JH D
wiretap,wiretapped,W AY ER T AE P,W AY ER T AE P T
jimmy,jimmied,JH IH M IY,JH IH M IY D
reload,reloaded,R IY L OW D,R IY L OW D IH D
restore,restored,R IH S T AO R,R IH S T AO R D
prize,prized,P R AY Z,P R AY Z D
retort,retorted,R IY T AO R T,R IY T AO R T IH D
corrode,corroded,K ER OW D,K ER OW D IH D
reemerge,reemerged,R IY IH M ER JH,R IY IH M ER JH D
poke,poked,P OW K,P OW K T
cock,cocked,K AA K,K AA K T
hide,hid,HH AY D,HH IH D
flow,flowed,F L OW,F L OW D
levy,levied,L EH V IY,L EH V IY D
dye,dyed,D AY,D AY D
introvert,introverted,IH N T R OW V ER T,IH N T R OW V ER T IH D
bevel,bevelled,B EH V AH L,B EH V AH L D
revisit,revisited,R IY V IH Z IH T,R IY V IH Z AH T IH D
plug,plugged,P L AH G,P L AH G D
carbonize,carbonized,K AA R B AH N AY Z,K AA R B AH N AY Z D
bogey,bogeyed,B OW G IY,B OW G IY D
pool,pooled,P UW L,P UW L D
sand,sanded,S AE N D,S AE N D IH D
relapse,relapsed,R IY L AE P S,R IY L AE P S T
bide,bode,B AY D,B OW D
number,numbered,N AH M B ER,N AH M B ER D
pie,pied,P AY,P AY D
escalate,escalated,EH S K AH L EY T,EH S K AH L EY T IH D
develop,developed,D IH V EH L AH P,D IH V EH L AH P T
relocate,relocated,R IY L OW K EY T,R IY L OW K EY T IH D
thaw,thawed,TH AO,TH AO D
simulcast,simulcast,S AY M Y AH L K AE S T,S AY M Y AH L K AE S T
guide,guided,G AY D,G AY D AH D
repulse,repulsed,R IY P AH L S,R IY P AH L S T
foul,fouled,F AW L,F AW L D
atrophy,atrophied,AE T R AH F IY,AE T R AH F IY D
range,ranged,R EY N JH,R EY N JH D
mouth,mouthed,M AW TH,M AW DH D
fake,faked,F EY K,F EY K T
vault,vaulted,V AO L T,V AO L T IH D
putt,putted,P AH T,P AH T IH D
tail,tailed,T EY L,T EY L D
crouch,crouched,K R AW CH,K R AW CH T
flatter,flattered,F L AE T ER,F L AE T ER D
baste,basted,B EY S T,B EY S T AH D
beseech,beseeched,B IY S IY CH,B IY S IY CH T
bet,bet,B EH T,B EH T
stamp,stamped,S T AE M P,S T AE M P T
burst,burst,B ER S T,B ER S T
heal,healed,HH IY L,HH IY L D
peruse,perused,P ER UW Z,P ER UW Z D
clarify,clarified,K L EH R AH F AY,K L EH R AH F AY D
deplore,deplored,D IH P L AO R,D IH P L AO R D
glut,glutted,G L AH T,G L AH T IH D
alert,alerted,AH L ER T,AH L ER T IH D
memorize,memorized,M EH M ER AY Z,M EH M ER AY Z D
evidence,evidenced,EH V AH D AH N S,EH V IH D AH N S T
shout,shouted,SH AW T,SH AW T IH D
respond,responded,R IH S P AA N D,R IH S P AA N D IH D
foresee,foresaw,F AO R S IY,F AO R S AO
quip,quipped,K W IH P,K W IH P T
repair,repaired,R IH P EH R,R IH P EH R D
pluralize,pluralized,P L UH R AH L AY Z,P L UH R AH L AY Z D
output,output,AW T P UH T,AW T P UH T
start,started,S T AA R T,S T AA R T IH D
boycott,boycotted,B OY K AA T,B OY K AA T IH D
chip,chipped,CH IH P,CH IH P T
liberate,liberated,L IH B ER EY T,L IH B ER EY T IH D
taxi,taxied,T AE K S IY,T AE K S IY D
anonymize,anonymized,AH N AA N AH M AY Z,AH N AA N AH M AY Z D
hound,hounded,HH AW N D,HH AW N D IH D
encourage,encouraged,EH N K ER IH JH,EH N K ER IH JH D
snarl,snarled,S N AA R L,S N AA R AH L D
down,downed,D AW N,D AW N D
identify,identified,AY D EH N T AH F AY,AY D EH N T AH F AY D
crow,crowed,K R OW,K R OW D
foist,foisted,F OY S T,F OY S T IH D
birdie,birdied,B ER D IY,B ER D IY D
crank,cranked,K R AE NG K,K R AE NG K T
cure,cured,K Y UH R,K Y UH R D
batter,battered,B AE T ER,B AE T ER D
elongate,elongated,IH L AO NG G EY T,IH L AO NG G EY T AH D
hustle,hustled,HH AH S AH L,HH AH S AH L D
predispose,predisposed,P R IY D IH S P OW Z,P R IY D IH S P OW Z D
layer,layered,L EY ER,L EY ER D
feel,felt,F IY L,F EH L T
urbanize,urbanized,ER B AH N AY Z,ER B AH N AY Z D
deploy,deployed,D IH P L OY,D IH P L OY D
trumpet,trumpeted,T R AH M P AH T,T R AH M P AH T IH D
counterbid,counterbid,K AW N T ER B IH D,K AW N T ER B IH D
boom,boomed,B UW M,B UW M D
overflow,overflowed,OW V ER F L OW,OW V ER F L OW D
diversify,diversified,D AY V ER S AH F AY,D AY V ER S AH F AY D
mediate,mediated,M IY D IY EY T,M IY D IY EY T IH D
ditch,ditched,D IH CH,D IH CH T
sidetrack,sidetracked,S AY D T R AE K,S AY D T R AE K T
require,required,R IY K W AY ER,R IY K W AY ER D
preface,prefaced,P R EH F AH S,P R EH F AH S T
deface,defaced,D IH F EY S,D IH F EY S T
preempt,preempted,P R IY EH M P T,P R IY EH M P T IH D
heel,heeled,HH IY L,HH IY L D
underman,undermanned,AH N D ER M AE N,AH N D ER M AE N D
ignite,ignited,IH G N AY T,IH G N AY T IH D
minor,minored,M AY N ER,M AY N ER D
relieve,relieved,R IH L IY V,R IH L IY V D
haggle,haggled,HH AE G AH L,HH AE G AH L D
blacklist,blacklisted,B L AE K L IH S T,B L AE K L IH S T IH D
owe,owed,OW,OW D
spank,spanked,S P AE NG K,S P AE NG K T
license,licensed,L AY S AH N S,L AY S AH N S T
enthral,enthralled,EH N TH R AO L,EH N TH R AO L D
bargain,bargained,B AA R G AH N,B AA R G AH N D
flush,flushed,F L AH SH,F L AH SH T
decry,decried,D IH K R AY,D IH K R AY D
initiate,initiated,IH N IH SH IY EY T,IH N IH SH IY EY T AH D
leapfrog,leapfrogged,L IY P F R AO G,L IY P F R AO G D
spew,spewed,S P Y UW,S P Y UW D
revise,revised,R IH V AY Z,R IH V AY Z D
sleep,slept,S L IY P,S L EH P T
climb,climbed,K L AY M,K L AY M D
catch,caught,K AE CH,K AA T
modulate,modulated,M AO JH Y UW L EY T,M AO JH Y UW L EY T IH D
download,downloaded,D AW N L OW D,D AW N L OW D IH D
mutate,mutated,M Y UW T EY T,M Y UW T EY T IH D
munch,munched,M AH N CH,M AH N CH T
finger,fingered,F IH NG G ER,F IH NG G ER D
pan,panned,P AE N,P AE N D
upgrade,upgraded,AH P G R EY D,AH P G R EY D IH D
customize,customized,K AH S T AH M AY Z,K AH S T AH M AY Z D
enlarge,enlarged,EH N L AA R JH,EH N L AA R JH D
list,listed,L IH S T,L IH S T AH D
resume,resumed,R IH Z UW M,R IH Z UW M D
chat,chatted,CH AE T,CH AE T AH D
smile,smiled,S M AY L,S M AY L D
aspirate,aspirated,AE S P ER EY T,AE S P ER EY T IH D
fare,fared,F EH R,F EH R D
muster,mustered,M AH S T ER,M AH S T ER D
tatter,tattered,T AE T ER,T AE T ER D
dress,dressed,D R EH S,D R EH S T
fray,frayed,F R EY,F R EY D
subject,subjected,S AH B JH EH K T,S AH B JH EH K T IH D
defer,deferred,D IH F ER,D IH F ER D
pocket,pocketed,P AA K AH T,P AA K AH T IH D
segment,segmented,S EH G M AH N T,S EH G M EH N T IH D
overstock,overstocked,OW V ER S T AA K,OW V ER S T AA K T
veil,veiled,V EY L,V EY L D
chamber,chambered,CH EY M B ER,CH EY M B ER D
miniaturize,miniaturized,M IH N IH CH ER AY Z,M IH N IH CH ER AY Z D
weave,wove,W IY V,W OW V
repute,reputed,R IY P Y UW T,R IH P Y UW T IH D
suffice,sufficed,S AH F AY S,S AH F AY S T
crenelate,crenelated,K R EH N AH L EY T,K R EH N AH L EY T AH D
gain,gained,G EY N,G EY N D
expire,expired,IH K S P AY R,IH K S P AY R D
sanitize,sanitized,S AE N IH T AY Z,S AE N IH T AY Z D
smart,smarted,S M AA R T,S M AA R T IH D
undersell,undersold,AH N D ER S EH L,AH N D ER S OW L D
delineate,delineated,D IH L IH N IY EY T,D IH L IH N IY EY T IH D
entangle,entangled,EH N T AE NG G AH L,EH N T AE NG G AH L D
caddy,caddied,K AE D IY,K AE D IY D
misperceive,misperceived,M IH S P ER S IY V,M IH S P ER S IY V D
socialize,socialized,S OW SH AH L AY Z,S OW SH AH L AY Z D
suit,suited,S UW T,S UW T IH D
mean,meant,M IY N,M EH N T
undernourish,undernourished,AH N D ER N ER IH SH,AH N D ER N ER IH SH T
gutter,guttered,G AH T ER,G AH T ER D
cordon,cordoned,K AO R D AH N,K AO R D AH N D
prime,primed,P R AY M,P R AY M D
marry,married,M EH R IY,M EH R IY D
expose,exposed,IH K S P OW Z,IH K S P OW Z D
smack,smacked,S M AE K,S M AE K T
deserve,deserved,D IH Z ER V,D IH Z ER V D
treat,treated,T R IY T,T R IY T IH D
score,scored,S K AO R,S K AO R D
dazzle,dazzled,D AE Z AH L,D AE Z AH L D
incline,inclined,IH N K L AY N,IH N K L AY N D
glamorize,glamorized,G L AE M ER AY Z,G L AE M ER AY Z D
staple,stapled,S T EY P AH L,S T EY P AH L D
paddle,paddled,P AE D AH L,P AE D AH L D
worry,worried,W ER IY,W ER IY D
recast,recast,R IY K AE S T,R IY K AE S T
fabricate,fabricated,F AE B R AH K EY T,F AE B R IH K EY T AH D
bathe,bathed,B EY DH,B EY DH D
rebuild,rebuilt,R IY B IH L D,R IY B IH L T
sound,sounded,S AW N D,S AW N D IH D
analyze,analyzed,AE N AH L AY Z,AE N AH L AY Z D
scribble,scribbled,S K R IH B AH L,S K R IH B AH L D
route,routed,R UW T,R UW T IH D
embody,embodied,IH M B AA D IY,IH M B AA D IY D
contrive,contrived,K AH N T R AY V,K AH N T R AY V D
invoice,invoiced,IH N V OY S,IH N V OY S T
scar,scarred,S K AA R,S K AA R D
precede,preceded,P R IH S IY D,P R IH S IY D IH D
bleed,bled,B L IY D,B L EH D
borrow,borrowed,B AA R OW,B AA R OW D
inscribe,inscribed,IH N S K R AY B,IH N S K R AY B D
sheath,sheathed,SH IY TH,SH IY DH D
skin,skinned,S K IH N,S K IH N D
outstrip,outstripped,AW T S T R IH P,AW T S T R IH P T
abridge,abridged,AH B R IH JH,AH B R IH JH D
father,fathered,F AA DH ER,F AA DH ER D
shun,shunned,SH AH N,SH AH N D
boat,boated,B OW T,B OW T IH D
account,accounted,AH K AW N T,AH K AW N T IH D
imbibe,imbibed,IH M B AY B,IH M B AY B D
exonerate,exonerated,IH G Z AA N ER EY T,IH G Z AA N ER EY T IH D
wax,waxed,W AE K S,W AE K S T
vociferate,vociferated,V AH S IH F ER EY T,V AH S IH F ER EY T IH D
expedite,expedited,EH K S P IH D AY T,EH K S P IH D AY T IH D
liberalize,liberalized,L IH B ER AH L AY Z,L IH B ER AH L AY Z D
cuddle,cuddled,K AH D AH L,K AH D AH L D
divorce,divorced,D IH V AO R S,D IH V AO R S T
retrofit,retrofitted,R EH T R OW F IH T,R EH T R OW F IH T IH D
lick,licked,L IH K,L IH K T
bog,bogged,B AA G,B AA G D
caption,captioned,K AE P SH AH N,K AE P SH AH N D
crimp,crimped,K R IH M P,K R IH M P T
step,stepped,S T EH P,S T EH P T
boomerang,boomeranged,B UW M ER AE NG,B UW M ER AE NG D
mull,mulled,M AH L,M AH L D
phone,phoned,F OW N,F OW N D
forestall,forestalled,F AO R S T AO L,F AO R S T AA L D
cede,ceded,S IY D,S IY D AH D
captivate,captivated,K AE P T IH V EY T,K AE P T IH V EY T IH D
port,ported,P AO R T,P AO R T IH D
deify,deified,D IY AH F AY,D IY AH F AY D
gloat,gloated,G L OW T,G L OW T IH D
naturalize,naturalized,N AE CH ER AH L AY Z,N AE CH ER AH L AY Z D
rescue,rescued,R EH S K Y UW,R EH S K Y UW D
monogram,monogrammed,M AA N AH G R AE M,M AA N AH G R AE M D
riddle,riddled,R IH D AH L,R IH D AH L D
admit,admitted,AH D M IH T,AH D M IH T IH D
reside,resided,R IH Z AY D,R IH Z AY D IH D
coo,cooed,K UW,K UW D
fluff,fluffed,F L AH F,F L AH F T
skate,skated,S K EY T,S K EY T IH D
relent,relented,R IH L EH N T,R IH L EH N T IH D
reprogram,reprogrammed,R IY P R OW G R AE M,R IY P R OW G R AE M D
censure,censured,S EH N SH ER,S EH N SH ER D
review,reviewed,R IY V Y UW,R IY V Y UW D
wean,weaned,W IY N,W IY N D
blunder,blundered,B L AH N D ER,B L AH N D ER D
mature,matured,M AH CH UH R,M AH T Y UH R D
imply,implied,IH M P L AY,IH M P L AY D
bow,bowed,B AW,B AW D
record,recorded,R AH K AO R D,R AH K AO R D IH D
blare,blared,B L EH R,B L EH R D
grieve,grieved,G R IY V,G R IY V D
etch,etched,EH CH,EH CH T
mishear,misheard,M IH S HH IY R,M IH S HH ER D
pop,popped,P AA P,P AA P T
pore,pored,P AO R,P AO R D
parody,parodied,P EH R AH D IY,P EH R AH D IY D
riff,riffed,R IH F,R IH F T
alleviate,alleviated,AH L IY V IY EY T,AH L IY V IY EY T IH D
moor,moored,M UH R,M UH R D
coax,coaxed,K OW K S,K OW K S T
instruct,instructed,IH N S T R AH K T,IH N S T R AH K T AH D
flurry,flurried,F L ER IY,F L ER IY D
penetrate,penetrated,P EH N AH T R EY T,P EH N AH T R EY T IH D
map,mapped,M AE P,M AE P T
reap,reaped,R IY P,R IY P T
randomize,randomized,R AE N D AH M AY Z,R AE N D AH M AY Z D
mug,mugged,M AH G,M AH G D
double,doubled,D AH B AH L,D AH B AH L D
balloon,ballooned,B AH L UW N,B AH L UW N D
mock,mocked,M AA K,M AA K T
crown,crowned,K R AW N,K R AW N D
corral,corralled,K ER AE L,K ER AE L D
notice,noticed,N OW T AH S,N OW T AH S T
irrigate,irrigated,IH R AH G EY T,IH R AH G EY T IH D
tickle,tickled,T IH K AH L,T IH K AH L D
bail,bailed,B EY L,B EY L D
encase,encased,EH N K EY S,EH N K EY S T
fresco,frescoed,F R EH S K OW,F R EH S K OW D
advocate,advocated,AE D V AH K AH T,AE D V AH K EY T IH D
chug,chugged,CH AH G,CH AH G D
wag,wagged,W AE G,W AE G D
languish,languished,L AE NG G W IH SH,L AE NG G W IH SH T
silence,silenced,S AY L AH N S,S AY L AH N S T
nurse,nursed,N ER S,N ER S T
delve,delved,D EH L V,D EH L V D
photoshop,photoshopped,F OW T OW SH AA P,F OW T OW SH AA P T
entice,enticed,IH N T AY S,IH N T AY S T
annotate,annotated,AE N AH T EY T,AE N AH T EY T IH D
landscape,landscaped,L AE N D S K EY P,L AE N D S K EY P T
surpass,surpassed,S ER P AE S,S ER P AE S T
drab,drabbed,D R AE B,D R AE B D
rush,rushed,R AH SH,R AH SH T
pen,penned,P EH N,P EH N D
legislate,legislated,L EH JH IH S L EY T,L EH JH AH S L EY T AH D
homestead,homesteaded,HH OW M S T EH D,HH OW M S T EH D IH D
salivate,salivated,S AE L AH V EY T,S AE L AH V EY T IH D
indicate,indicated,IH N D AH K EY T,IH N D AH K EY T AH D
disprove,disproved,D IH S P R UW V,D IH S P R UW V D
contract,contracted,K AA N T R AE K T,K AA N T R AE K T AH D
roll,rolled,R OW L,R OW L D
wire,wired,W AY ER,W AY ER D
criticize,criticized,K R IH T IH S AY Z,K R IH T AH S AY Z D
amble,ambled,AE M B AH L,AE M B AH L D
gross,grossed,G R OW S,G R OW S T
annoy,annoyed,AH N OY,AH N OY D
resubmit,resubmitted,R IY S AH B M IH T,R IY S AH B M IH T IH D
broil,broiled,B R OY L,B R OY L D
halt,halted,HH AO L T,HH AO L T AH D
bely,belied,B AH L AY,B IH L AY D
sing,sang,S IH NG,S AE NG
sigh,sighed,S AY,S AY D
ennoble,ennobled,IH N OW B AH L,IH N OW B AH L D
perk,perked,P ER K,P ER K T
shit,shit,SH IH T,SH IH T
crush,crushed,K R AH SH,K R AH SH T
wrest,wrested,R EH S T,R EH S T IH D
reduce,reduced,R AH D UW S,R AH D UW S T
flirt,flirted,F L ER T,F L ER T IH D
emerge,emerged,IH M ER JH,IH M ER JH D
gussy,gussied,G AH S IY,G AH S IY D
limp,limped,L IH M P,L IH M P T
barrage,barraged,B ER AA ZH,B ER AA ZH D
interview,interviewed,IH N T ER V Y UW,IH N T ER V Y UW D
bloom,bloomed,B L UW M,B L UW M D
halve,halved,HH AE V,HH AE V D
cost,cost,K AA S T,K AA S T
bar,barred,B AA R,B AA R D
relish,relished,R EH L IH SH,R EH L IH SH T
flourish,flourished,F L ER IH SH,F L ER IH SH T
unsettle,unsettled,AH N S EH T AH L,AH N S EH T AH L D
rearrest,rearrested,R IY ER EH S T,R IY ER EH S T IH D
ax,axed,AE K S,AE K S T
declare,declared,D IH K L EH R,D IH K L EH R D
situate,situated,S IH CH UW EY T,S IH CH UW EY T IH D
patch,patched,P AE CH,P AE CH T
scrunch,scrunched,S K R AH N CH,S K R AH N CH T
cull,culled,K AH L,K AH L D
undercount,undercounted,AH N D ER K AW N T,AH N D ER K AW N T IH D
forecast,forecast,F AO R K AE S T,F AO R K AE S T
clean,cleaned,K L IY N,K L IY N D
sort,sorted,S AO R T,S AO R T IH D
hassle,hassled,HH AE S AH L,HH AE S AH L D
startle,startled,S T AA R T AH L,S T AA R T AH L D
trample,trampled,T R AE M P AH L,T R AE M P AH L D
stifle,stifled,S T AY F AH L,S T AY F AH L D
shell,shelled,SH EH L,SH EH L D
ladle,ladled,L EY D AH L,L EY D AH L D
burnish,burnished,B ER N IH SH,B ER N IH SH T
blur,blurred,B L ER,B L ER D
abrade,abraded,AE B R EY D,AE B R EY D IH D
gouge,gouged,G AW JH,G AW JH D
utilize,utilized,Y UW T AH L AY Z,Y UW T AH L AY Z D
beach,beached,B IY CH,B IY CH T
voice,voiced,V OY S,V OY S T
trade,traded,T R EY D,T R EY D IH D
generate,generated,JH EH N ER EY T,JH EH N ER EY T AH D
console,consoled,K AA N S OW L,K AH N S OW L D
swelter,sweltered,S W EH L T ER,S W EH L T ER D
weed,weeded,W IY D,W IY D IH D
maroon,marooned,M ER UW N,M ER UW N D
deck,decked,D EH K,D EH K T
bite,bit,B AY T,B IH T
remedy,remedied,R EH M AH D IY,R EH M AH D IY D
ascribe,ascribed,AH S K R AY B,AH S K R AY B D
outmode,outmoded,AW T M OW D,AW T M OW D IH D
predestine,predestined,P R IY D EH S T AH N,P R IY D EH S T AH N D
view,viewed,V Y UW,V Y UW D
comply,complied,K AH M P L AY,K AH M P L AY D
preen,preened,P R IY N,P R IY N D
punish,punished,P AH N IH SH,P AH N IH SH T
market,marketed,M AA R K AH T,M AA R K AH T AH D
overcome,overcame,OW V ER K AH M,OW V ER K EY M
profess,professed,P R AH F EH S,P R AH F EH S T
embarrass,embarrassed,IH M B EH R AH S,IH M B EH R AH S T
pattern,patterned,P AE T ER N,P AE T ER N D
stomp,stomped,S T AA M P,S T AA M P T
recognise,recognised,R EH K AH G N AY Z,R EH K AH G N AY Z D
enslave,enslaved,EH N S L EY V,EH N S L EY V D
create,created,K R IY EY T,K R IY EY T AH D
seal,sealed,S IY L,S IY L D
bolster,bolstered,B OW L S T ER,B OW L S T ER D
piece,pieced,P IY S,P IY S T
ready,readied,R EH D IY,R EH D IY D
immunize,immunized,IH M Y UW N AY Z,IH M Y AH N AY Z D
phase,phased,F EY Z,F EY Z D
overhang,overhung,OW V ER HH AE NG,OW V ER HH AH NG
unshackle,unshackled,AH N SH AE K AH L,AH N SH AE K AH L D
programme,programmed,P R OW G R AE M,P R OW G R AE M D
clamber,clambered,K L AE M B ER,K L AE M B ER D
oversell,oversold,OW V ER S EH L,OW V ER S OW L D
project,projected,P R AA JH EH K T,P R AH JH EH K T AH D
bedraggle,bedraggled,B IH D R AE G AH L,B IH D R AE G AH L D
outline,outlined,AW T L AY N,AW T L AY N D
flare,flared,F L EH R,F L EH R D
intercede,interceded,IH N T ER S IY D,IH N T ER S IY D IH D
tackle,tackled,T AE K AH L,T AE K AH L D
transform,transformed,T R AE N S F AO R M,T R AE N S F AO R M D
intermix,intermixed,IH N T ER M IH K S,IH N T ER M IH K S T
evaluate,evaluated,IH V AE L Y UW EY T,IH V AE L Y UW EY T AH D
charter,chartered,CH AA R T ER,CH AA R T ER D
plumb,plumbed,P L AH M,P L AH M D
swoon,swooned,S W UW N,S W UW N D
purify,purified,P Y UH R AH F AY,P Y UH R AH F AY D
fold,folded,F OW L D,F OW L D AH D
await,awaited,AH W EY T,AH W EY T IH D
miscast,miscast,M IH S K AE S T,M IH S K AE S T
cancel,cancelled,K AE N S AH L,K AE N S AH L D
debate,debated,D AH B EY T,D AH B EY T IH D
bifurcate,bifurcated,B IH F ER K EY T,B IH F ER K EY T IH D
accede,acceded,AE K S IY D,AE K S IY D IH D
pedal,pedalled,P EH D AH L,P EH D AH L D
green,greened,G R IY N,G R IY N D
reassure,reassured,R IY AH SH UH R,R IY AH SH UH R D
autopsy,autopsied,AO T AA P S IY,AO T AA P S IY D
class,classed,K L AE S,K L AE S T
overlook,overlooked,OW V ER L UH K,OW V ER L UH K T
misplace,misplaced,M IH S P L EY S,M IH S P L EY S T
steer,steered,S T IH R,S T IH R D
